Feature,Importance
weight,0.48599514
preDraftGrade,0.11187966
height,0.078724824
preDraftRanking,0.03991157
preDraftPositionRanking,0.037307527
kicking_FGA,0.010672697
punting_LONG,0.010356702
passing_COMPLETIONS,0.009048887
puntReturns_YDS,0.00781713
passing_YDS,0.0078117247
receiving_YDS,0.0072541307
defensive_TFL,0.0071111717
defensive_SACKS,0.006576432
defensive_QB HUR,0.006491841
puntReturns_AVG,0.0063392464
passing_YPA,0.0062933546
passing_INT,0.006240758
passing_ATT,0.0060642445
rushing_YPC,0.0059839305
interceptions_INT,0.0059742094
receiving_TD,0.0059570386
passing_PCT,0.005887186
rushing_YDS,0.0057754177
receiving_YPR,0.0057557225
rushing_TD,0.005619795
defensive_TD,0.0055136904
defensive_PD,0.005426508
puntReturns_LONG,0.005242174
fumbles_FUM,0.0050782966
receiving_LONG,0.005057388
interceptions_AVG,0.0050017377
punting_YDS,0.0049349163
defensive_TOT,0.0047494923
kickReturns_AVG,0.0046990523
defensive_SOLO,0.0046269987
puntReturns_NO,0.004338806
passing_TD,0.0042816876
fumbles_LOST,0.0039102626
fumbles_REC,0.003898807
interceptions_TD,0.0038249122
interceptions_YDS,0.0037904282
receiving_REC,0.003671924
kicking_XPA,0.003640859
rushing_LONG,0.003582654
punting_YPP,0.0035207465
rushing_CAR,0.0034516652
kicking_PCT,0.0033904416
kickReturns_YDS,0.0031347997
punting_NO,0.0030332252
kickReturns_LONG,0.0027243993
kickReturns_NO,0.0023930895
kicking_PTS,0.0002305793
kicking_FGM,0.0
punting_TB,0.0
puntReturns_TD,0.0
punting_In 20,0.0
kicking_XPM,0.0
kickReturns_TD,0.0
kicking_LONG,0.0
